id	title	descr	icon	title_en	title_de	crop_code	group_name	group_code	variety_id	variety_name
1	смородина красная		rib_rub_rosetta.jpg	red currant	Johannesbeere rot	ber1	berries	ber	1	rosetta
2	калина		vib_opu_wild.jpg	guelder rose	Schneeball	ber10	berries	ber	1	wild
3	шиповник		ros_can_wild.jpg	rosehip	Hagebutte	ber11	berries	ber	1	canina
4	смородина черная		rib_nig_trivial.jpg	black currant	Johannesbeere schwarz	ber2	berries	ber	1	black purl
5	крыжовник		rib_uva_cri.jpg	gooseberry	Stachelbeere	ber3	berries	ber	1	njamnjam
6	клубника		fra_ves_honeoye.jpg	strawberry	Erdbeere	ber4	berries	ber	1	honeoye
7	земляника		fra_ves_wild.jpg	wild strawberry	Walderdbeere	ber5	berries	ber	1	wild
8	малина		rub_ide_wild.jpg	raspberry	Himmbeere	ber6	berries	ber	1	wild
9	ежевика		rub_fru_wild.jpg	blackberry	Brombeere	ber7	berries	ber	1	wild
10	ежемалина		Ezhemalina1.jpg	black x raspberry	Bromxhimmbeere	ber8	berries	ber	1	zero
11	облепиха		hypo_rham.jpg	seabuckthorn	Sanddorn	ber9	berries	ber	1	diva
12	бeлая капуста		G219_10.jpg	white cabbage	Weißkohl	cab1	cabbage	cab	1	Dottenfelder Dauer
13	бeлая капуста		G220_10.jpg	white cabbage	Weißkohl	cab1	cabbage	cab	2	Türkis
14	бeлая капуста		G218_11.jpg	white cabbage	Weißkohl	cab1	cabbage	cab	3	Marner Lagerweiß
15	коническая		G217_10.jpg	hispi cabbage	Spitzkohl	cab10	cabbage	cab	1	Filderkraut
16	брокколи		G643_9.jpg	broccoli	Broccoli	cab11	cabbage	cab	1	Calinaro
17	цветная		G199_9.jpg	cauliflower	Bluhmenkohl	cab12	cabbage	cab	1	Odysseus
18	красная		G207_10.jpg	red cabbage	Rotkohl	cab2	cabbage	cab	1	Amarant
19	савойская		G223_10.jpg	savoy cabbage	Wirsing	cab3	cabbage	cab	1	Winterführst2
20	брюссельская		G609_9.jpg	sprouts	Rosenkohl	cab4	cabbage	cab	1	Idemar
21	пекинская		YA09C.jpg	chinese cabbage	Chinakohl	cab5	cabbage	cab	1	Granat
22	кейл		G225_10.jpg	Kale	Grünkohl	cab6	cabbage	cab	1	Halbhoher grüner Krauser
